,LapTime,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,FastestQualifyingLapTime
227,102041.0,LEC,15.0,1.0,SOFT,15.0,Ferrari,2,1.0,90558.0
228,117660.0,LEC,16.0,2.0,SOFT,4.0,Ferrari,1,1.0,90558.0
229,97520.0,LEC,17.0,2.0,SOFT,5.0,Ferrari,1,1.0,90558.0
230,97634.0,LEC,18.0,2.0,SOFT,6.0,Ferrari,1,1.0,90558.0
231,97408.0,LEC,19.0,2.0,SOFT,7.0,Ferrari,1,1.0,90558.0
232,97562.0,LEC,20.0,2.0,SOFT,8.0,Ferrari,1,1.0,90558.0
233,97807.0,LEC,21.0,2.0,SOFT,9.0,Ferrari,1,1.0,90558.0
234,97752.0,LEC,22.0,2.0,SOFT,10.0,Ferrari,1,1.0,90558.0
235,97774.0,LEC,23.0,2.0,SOFT,11.0,Ferrari,1,1.0,90558.0
236,97913.0,LEC,24.0,2.0,SOFT,12.0,Ferrari,1,1.0,90558.0
237,98061.0,LEC,25.0,2.0,SOFT,13.0,Ferrari,1,1.0,90558.0
238,98371.0,LEC,26.0,2.0,SOFT,14.0,Ferrari,1,1.0,90558.0
239,98785.0,LEC,27.0,2.0,SOFT,15.0,Ferrari,1,1.0,90558.0
240,99051.0,LEC,28.0,2.0,SOFT,16.0,Ferrari,1,1.0,90558.0
241,98887.0,LEC,29.0,2.0,SOFT,17.0,Ferrari,1,1.0,90558.0
242,99354.0,LEC,30.0,2.0,SOFT,18.0,Ferrari,1,1.0,90558.0
243,101545.0,LEC,31.0,2.0,SOFT,19.0,Ferrari,1,1.0,90558.0
244,116325.0,LEC,32.0,3.0,MEDIUM,1.0,Ferrari,1,3.0,90558.0
245,96674.0,LEC,33.0,3.0,MEDIUM,2.0,Ferrari,1,3.0,90558.0
246,96399.0,LEC,34.0,3.0,MEDIUM,3.0,Ferrari,1,1.0,90558.0
247,96501.0,LEC,35.0,3.0,MEDIUM,4.0,Ferrari,1,1.0,90558.0
248,96561.0,LEC,36.0,3.0,MEDIUM,5.0,Ferrari,1,1.0,90558.0
